TIG_PostNL::Enabled,Activé
TIG_PostNL::You can choose to send a Track & Trace email automatically after an order is confirmed. From this menu you can also define how you would like to send Track & Trace emails.,Les e-mails Track & Trace peuvent être envoyés automatiquement après l'annonce de l'envoi. Configurez ici la manière d'envoyer les e-mails Track & Trace.
TIG_PostNL::Automatically send track & trace email to customer,Envoyer l'e-mail Track & Trace automatiquement au client.
TIG_PostNL::If enabled, a track & trace email will be sent to the customer roughly 20 minutes after a shipment has been confirmed.,Si activé, un e-mail Track & Trace est envoyé au client environ 20 minutes après l'annonce.
TIG_PostNL::Track & trace email template,Modèle d'e-mail Track & Trace
TIG_PostNL::Address Details,Coordonnées
TIG_PostNL::Split street parts,Diviser les champs du nom de rue
TIG_PostNL::Streetname field,Nom de la rue
TIG_PostNL::Housenr. field,Numéro
TIG_PostNL::Split house number parts,Diviser le numéro
TIG_PostNL::Housenr. extension field,Complément numéro
TIG_PostNL::Optional address fields,Champs d'adresse optionnels
TIG_PostNL::Area field,Champ région/quartier
TIG_PostNL::Building name field,Champ nom du bâtiment
TIG_PostNL::Department field,Champ département
TIG_PostNL::Doorcode field,Champ code de la porte
TIG_PostNL::Floor field,Champ étage
TIG_PostNL::Remark field,Champ remarques
TIG_PostNL::Postcode validation and delivery options are only available for supported checkouts.,Vous ne pouvez utiliser la validation du code postal et les options de livraison que pour les checkouts soutenus.
TIG_PostNL::First Name,Prénom
TIG_PostNL::Last Name,Nom
TIG_PostNL::Company,Entreprise
TIG_PostNL::Department,Département
TIG_PostNL::Street,Nom de la rue
TIG_PostNL::House Nr.,Numéro
TIG_PostNL::House Nr. Extension,Complément numéro
TIG_PostNL::Postcode,Code postal
TIG_PostNL::City,Lieu
TIG_PostNL::Region,Province
TIG_PostNL::Use only the primary sender address,Utiliser uniquement l'adresse de l'expéditeur primaire
TIG_PostNL::Product Options,Options de produit
TIG_PostNL::Select selectable option,Sélectionner les options disponibles
TIG_PostNL::Default shipping option,Option d'envoi standard
TIG_PostNL::This setting may be overwritten by manually creating shipments. This option is only applicable to domestic shipments.,Ce paramètre peut être remplacé par une réalisation manuelle de l'envoi. Ce paramètre est uniquement applicable pour les envois nationaux.
TIG_PostNL::Use an alternative default option,Utiliser une option standard alternative
TIG_PostNL::Enable this to use an alternative default option when a shipment's total value exceeds a certain amount.,Appliquez cela si une valeur standard alternative est utilisée quand la valeur totale de l'envoi est supérieure à un montant donné.
TIG_PostNL::Maximum amount,Montant maximal
TIG_PostNL::The alternative default option will be used when the shipment's total amount exceeds this value.,L'option standard alternative est utilisée si la valeur totale de l'envoi dépasse cette valeur.
TIG_PostNL::Alternative default shipping option,Option d'envoi standard alternative
TIG_PostNL::This option will be used as default when the shipment's total value exceeds the given amount.,Cette option devient standard quand la valeur totale de l'envoi est supérieure au montant donné.
TIG_PostNL::Default 'deliver at the Post Office' option,Option standard « retrait au bureau de poste »
TIG_PostNL::This setting can be overwritten by manually creating shipments. This option is only applicable to Post Office shipments.,Ce paramètre peut être remplacé par une réalisation manuelle des envois. Ce paramètre est uniquement applicable pour les envois en bureau de poste.
TIG_PostNL::Worldwide Shipping,Envois internationaux
TIG_PostNL::Customs license number,Numéro de licence d'exportation
"TIG_PostNL::If you do not own a customs license, leave this field empty.","Si vous ne disposez pas de licence d'exportation, laissez ce champ vide"
TIG_PostNL::Customs certificate number,Numéro de certificat de douane
"TIG_PostNL::If you do not own a customs certificate, leave this field empty.","Si vous ne disposez pas de certificat de douane, laissez ce champ vide"
TIG_PostNL::Product attributes,Attributs du produit
TIG_PostNL::Use HS Tariff,Utiliser le tarif SH
TIG_PostNL::HS Tariff attribute,Tarif SH
TIG_PostNL::Customs value attribute,Valeur douanière
TIG_PostNL::Country of origin attribute,Pays d'origine
TIG_PostNL::Product description attribute,Description du produit
TIG_PostNL::Product sorting,Tri du produit
TIG_PostNL::Product sorting attribute,Attribut de tri du produit
TIG_PostNL::Global shipping labels contain a maximum of 5 products. The sorting method will determine which 5 products are shown. Please note: the remaining products will not be shown on the label.,Les étiquettes d'acheminement global reprennent maximum 5 produits. Déterminez avec le service de tri quels sont les 5 produits à indiquer. Attention : les autres produits ne seront donc pas visibles sur l'étiquette.
TIG_PostNL::Product sorting direction,Orientation du tri du produit
TIG_PostNL::PostNL Checkout Settings,Paramètres PostNL Checkout
TIG_PostNL::Enable PostNL Checkout,Activer PostNL Checkout
TIG_PostNL::Mode,Mode
TIG_PostNL::Enable PostNL Checkout for orders under 2 kg,Activer PostNL Checkout pour les commandes de moins de 2 kg
TIG_PostNL::Enable PostNL Checkout for orders containing out of stock products,Activer PostNL Checkout pour les commandes contenant des produits qui ne sont pas en stock.
TIG_PostNL::PostNL Checkout settings,Paramètres PostNL Checkout
TIG_PostNL::Show order summary page,Voir la page d'aperçu de la commande
TIG_PostNL::Whether or not to show the customer a final order summary page before finalizing the order.,Afficher ou non une page d'aperçu de la commande pour le client avant la clôture définitive de la commande.
TIG_PostNL::Newsletter subscription,Annoncer le bulletin d’information
TIG_PostNL::Remark,Remarque
TIG_PostNL::Whether or not the customer can leave a remark.,Si le client peut ou non indiquer des remarques
TIG_PostNL::Use mobile phonenumber,Utilisation d'un numéro de téléphone portable
TIG_PostNL::Use date of birth,Utilisation de la date de naissance
TIG_PostNL::Whether or not the customer's date of birth will be returned by PostNL if available.,Ce champ détermine si la date de naissance du client est demandée dans PostNL Checkout.
TIG_PostNL::Allow post office locations,Autoriser la localisation des bureaux de poste.
TIG_PostNL::Whether or not the customer may choose a retail location as their delivery address.,Le client peut-il ou non choisir un magasin comme adresse d'expédition
TIG_PostNL::Allow foreign addresses,Autoriser les adresses étrangères
TIG_PostNL::Allow price overview,Autoriser l'aperçu du prix
TIG_PostNL::Terms and conditions,Conditions générales
TIG_PostNL::Contact settings,Paramètres de contact
TIG_PostNL::Contact URL,URL contact
TIG_PostNL::URL of a page where customers can find contact information for your webshop. Leave empty to disable this feature.,Page d'un site Internet où les clients peuvent retrouver les coordonnées de contact de votre webshop. Laissez vide si vous ne souhaitez pas l'utiliser.
TIG_PostNL::Service URL,URL service
TIG_PostNL::URL of a page where customers can find information regarding the webshop's customer service department. Leave empty to disable this feature.,Page d'un site Internet où les clients peuvent retrouver des informations sur le département de service de votre webshop. Laissez vide si vous ne souhaitez pas l'utiliser.
TIG_PostNL::PostNL Checkout Payment Settings,Paramètres de paiement PostNL Checkout
TIG_PostNL::PostNL Checkout is disabled. please enable PostNL Checkout in order to configure these settings.,PostNL Checkout n'est pas activé. Activez PostNL Checkout pour configurer les paramètres.
TIG_PostNL::Use iDEAL,Utilisation d'iDeal
TIG_PostNL::iDEAL payment method,Méthode de paiement via iDeal
TIG_PostNL::iDeal Bank Field,Banque iDeal
TIG_PostNL::Enter the field name used by the selected payment method for the 'bank' field.,Indiquez l'intitulé de champ que la méthode de paiement choisie utilise pour traiter le choix de banque.
TIG_PostNL::Use creditcard,Utilisation d'une carte de crédit
TIG_PostNL::Creditcard payment method,Méthode de paiement par carte de crédit
TIG_PostNL::Creditcard card type field,Modèle de carte de crédit
TIG_PostNL::Enter the field name used by the selected payment method for the 'creditcard type' field.,Indiquez l'intitulé de champ que la méthode de paiement choisie utilise pour traiter le choix de carte.
TIG_PostNL::Use CheckPay,Utilisation de CheckPay
TIG_PostNL::CheckPay payment method,Méthode de paiement via CheckPay
TIG_PostNL::Use PayPal,Utilisation de PayPal
TIG_PostNL::PayPal payment method,Méthode de paiement via PayPal
TIG_PostNL::Use direct debit,Utilisation du recouvrement automatique
TIG_PostNL::Direct debit payment method,Méthode de paiement via recouvrement automatique
TIG_PostNL::Use acceptgiro,Utilisation du virement à communication structurée
TIG_PostNL::Acceptgiro payment method,Méthode de paiement via virement à communication structurée
TIG_PostNL::Use vooraf betalen,Utilisation du paiement préalable
TIG_PostNL::Vooraf betalen payment method,Méthode de paiement via paiement préalable
TIG_PostNL::Use betaling in termijnen,Utilisation du paiement échelonné
TIG_PostNL::In termijnen betalen payment method,Méthode de paiement via paiements échelonnés
TIG_PostNL::Use giftcard,Utilisation d'un chèque-cadeau
TIG_PostNL::Giftcard payment method,Méthode de paiement via chèque-cadeau
TIG_PostNL::Use RaboBank internetkassa,Utilisation du guichet en ligne Rabobank
TIG_PostNL::Rabobank internetkassa payment method,Méthode de paiement via le guichet en ligne Rabobank
TIG_PostNL::Use AfterPay,Utilisation d'Afterpay
TIG_PostNL::AfterPay payment method,Méthode de paiement via Afterpay
TIG_PostNL::Advanced Settings,Paramètres avancés
TIG_PostNL::Debug mode,Mode débogage
"TIG_PostNL::If enabled, debug logs will be created in the var/logs/TIG_PostNL/ directory. Full logging will log various debugging messages as well as errors. N.B.: these log files may become very large in a short amount of time.","En cas d'activation, les fichiers de débogage seront enregistrés dans le dossier var/logs/TIG_PostNL/. Le logging complet reprendra, outre les erreurs, les informations générales de débogage. N.B. : ces fichiers log peuvent rapidement devenir volumineux."
TIG_PostNL::Allow infinite label printing,Autoriser l'impression continue des étiquettes
TIG_PostNL::By default a maximum of 200 labels can be printed at once. Enable this to remove this limitation. Beware: enabling this may lead to server instability.,De manière standard, vous pouvez imprimer un maximum de 200 étiquettes en une fois. Activez cela pour supprimer cette limite. Attention, cela peut provoquer une instabilité du serveur.
TIG_PostNL::Maximum number of parcels per shipment,Nombre maximal de colis par envoi
TIG_PostNL::Maximum temporary file storage time,Durée de stockage provisoire maximum des fichiers provisoires des étiquettes d'envoi.
"TIG_PostNL::In seconds. After this time, temporary files will be deleted. Only increase this if you use custom functionality to create a very large amount of labels at once.","En secondes. Ensuite, les fichiers provisoires seront supprimés. Augmentez ce chiffre uniquement si vous réalisez un grand nombre d'étiquettes à la main."
TIG_PostNL::Number of days before a confirmation expires,Nombre de jours avant l'expiration d'une annonce.
TIG_PostNL::If a confirmed shipment has not been shipped after this amount of days it's confirmation will expire.,Si un envoi annoncé n'est pas envoyé après ce nombre de jours, l'annonce expire.
TIG_PostNL::Send extension usage statistics to PostNL,Envoyer les statistiques d'utilisateur de l'extension à PostNL.
TIG_PostNL::PostNL may periodically send important updates regarding new versions of the PostNL extension or important security updates in the same manner as Magento. Disable this setting to no longer ecieve these notifications.,PostNL envoie des mises à jour périodiques importantes concernant les nouvelles versions de l'extension PostNL ou des mises à jour de sécurité importantes de la même manière que Magento. Activez ce paramètre pour ne plus recevoir ces mises à jour.
TIG_PostNL::Webservice versions,Versions service web
TIG_PostNL::ShippingStatus webservice version,Version service web statut d'envoi
TIG_PostNL::Confirming webservice version,Version service web annonce
TIG_PostNL::Labelling webservice version,Version service web étiquetage
TIG_PostNL::Barcode webservice version,Version service web code-barres
TIG_PostNL::Checkout webservice version,Version service web Checkout
TIG_PostNL::PostNL Track & Trace Email,E-mail Track & Trace PostNL
TIG_PostNL::Unable to set Payment Method.,Impossible de paramétrer la méthode de paiement
"TIG_PostNL::An error occurred while processing your order. Please try again. if this problem persists, please contact the webshop owner.","Une erreur est survenue lors du traitement de votre commande. Veuillez réessayer. Si ce problème persiste, veuillez prendre contact avec le responsable du webshop."
TIG_PostNL::Your order has been cancelled. Please try again.,Votre commande a été annulée. Veuillez réessayer.
TIG_PostNL::The customer left the following remark:,Le client a laissé la remarque suivante :
TIG_PostNL::Unfortunately the checkout process cannot be finished. Please try again.,"Malheureusement, le processus de paiement a échoué. Veuillez réessayer."
TIG_PostNL::Unfortunately no PostNL Checkout order could be found. Please try again.,"Malheureusement, votre commande PostNL Checkout est introuvable. Veuillez réessayer."
TIG_PostNL::It seems your cart has been changed since you started the checkout process. Please try again.,Il semble que votre commande ait été modifiée depuis le début de la procédure Checkout. Veuillez réessayer.
TIG_PostNL::Please select a shipment.,Veuillez sélectionner un envoi
TIG_PostNL::An error occurred while processing this action:,Une erreur est survenue lors du traitement de cette action :
TIG_PostNL::Please select a shipment.,Veuillez sélectionner un envoi
TIG_PostNL::The shipment has been successfully confirmed,L'envoi a été annoncé avec succès.
TIG_PostNL::Shipment not found,Envoi introuvable
TIG_PostNL::The track & trace email was sent.,L'e-mail Track & Trace a été envoyé
TIG_PostNL::Please select one or more orders.,Veuillez sélectionner une ou plusieurs commandes
TIG_PostNL::An error occurred whilst creating processing the shipment(s):,Une erreur est survenue lors du traitement du/des envoi(s)
TIG_PostNL::The shipments were successfully created.,L'envoi a été réalisé avec succès.
TIG_PostNL::Please select one or more shipments.,Veuillez sélectionner un ou plusieurs envois
TIG_PostNL::You can print a maximum of 200 labels at once.,Vous pouvez imprimer un maximum de 200 étiquettes
TIG_PostNL::The shipments have been confirmed successfully.,Les envois ont été annoncés avec succès.
TIG_PostNL::Order #%s cannot be shipped at this time.,La commande #%s ne peut pas être envoyée pour l'instant.
TIG_PostNL::PostNL replied with the following warning(s):,PostNL émet le(s) avertissement(s) suivant(s) :
TIG_PostNL::Error code %s:,Code d'erreur %s :
TIG_PostNL::An error occurred whilst processing your request:,Une erreur est survenue lors du traitement de votre demande
TIG_PostNL::Your webshop has been registered. You should receive an email on the email address you specify shortly.,Votre webshop a été enregistré. Vous allez recevoir un e-mail à l'adresse que vous avez fournie.
TIG_PostNL::Please read this email carefully as it contains instructions on how to finish the extension activation procedure.,Lisez attentivement cet e-mail. Il vous explique comment achever la procédure d'activation.
TIG_PostNL::Please fill in your unique and private keys and try again.,Introduisez votre clé unique et privée et recommencez.
TIG_PostNL::The extension has been successfully registered!,L'extension a été enregistrée avec succès !
TIG_PostNL::here,ici
TIG_PostNL::No,Non
TIG_PostNL::Yes,Oui
TIG_PostNL::PakjeGemak,PakjeGemak
TIG_PostNL::Domestic,National
TIG_PostNL::EPS,EPS
TIG_PostNL::GlobalPack,GlobalPack
TIG_PostNL::Confirmed,Annoncé
TIG_PostNL::Confirmation expired,Annonce expirée
TIG_PostNL::Today,Aujourd’hui
TIG_PostNL::No barcode available.,Pas de code-barres disponible
TIG_PostNL::Shipment #%s has already been confirmed.,L'envoi #%s a déjà été annoncé.
TIG_PostNL::You must first print a shipping label for this shipment.,Vous devez d'abord imprimer une étiquette pour cet envoi
TIG_PostNL::Are you sure? The PostNL extension will not function until you\'ve registered the extension.,Êtes-vous sûr ? L'extension PostNL ne fonctionne pas si vous n'êtes pas enregistré.
TIG_PostNL::Finish registration,Achever l'enregistrement
TIG_PostNL::Send security keys,Envoyer les clés de sécurité
TIG_PostNL::Mijnpakket,Mijnpakket
TIG_PostNL::View this shipment in mijnpakket,Examiner cet envoi dans Mijnpakket
TIG_PostNL::Wrong message type,Modèle de message erroné
TIG_PostNL::Are you sure you want to send PostNL tracking information to the customer?,Êtes-vous sûr de vouloir envoyer les informations PostNL Track & Trace au client ?
TIG_PostNL::Send Date,Date d'envoi
TIG_PostNL::Labels printed,Étiquettes imprimées
TIG_PostNL::Track & Trace,Track & Trace
TIG_PostNL::Shipping Phase,Phase d'envoi
TIG_PostNL::Print label,Imprimer étiquette
TIG_PostNL::Confirm,Annoncer
TIG_PostNL::PostNL - Print shipping labels & confirm shipment,PostNL - Imprimer les étiquettes d'envoi & annoncer l'envoi
TIG_PostNL::PostNL - Print shipping labels,PostNL - Imprimer les étiquettes d'envoi
TIG_PostNL::PostNL - Confirm shipments,PostNL - Annoncer l'envoi
TIG_PostNL::Shipment type,Modèle d'envoi
TIG_PostNL::PostNL - Create Shipments,PostNL - Réaliser des envois
TIG_PostNL::Product options,Options de produit
TIG_PostNL::Shipping Method,Méthode d'envoi
TIG_PostNL::Shipment Type,Modèle d'envoi
TIG_PostNL::Labels Printed,Étiquettes imprimées
TIG_PostNL::Shipping Phase,Phase d'envoi
TIG_PostNL::Invalid Table Rate code type:,Modèle de code invalide
TIG_PostNL::Invalid Table Rate code for type %s:,Code invalide pour %s
TIG_PostNL::Flat,Fixe
TIG_PostNL::Table,Tableau
TIG_PostNL::Post Office + Extra Cover,Bureau de poste + assurance supplémentaire
TIG_PostNL::Post Office + Extra Cover + Notification,Bureau de poste + assurance supplémentaire + notification
TIG_PostNL::Post Office + Signature on Delivery,Bureau de poste + signature à la réception
TIG_PostNL::Post Office + Signature on Delivery + Notification,Bureau de poste + signature à la réception + notification
TIG_PostNL::Metric,Système métrique
TIG_PostNL::Tonne (t),Tonne
TIG_PostNL::Kilogram (kg),Kilogramme
TIG_PostNL::Hectogram (hg),Hectogramme
TIG_PostNL::Gram (g),Gramme
TIG_PostNL::Carat,Carat
TIG_PostNL::Centigram,Centigramme
TIG_PostNL::Milligram (mg),Milligramme
TIG_PostNL::Avoirdupois (US),Avoirdupois (USA)
TIG_PostNL::Long ton,Livre anglaise
TIG_PostNL::Short ton,Tonne courte
TIG_PostNL::Long hundredweight,quintal
TIG_PostNL::Short hundredweight,Short hundredweight
TIG_PostNL::Stone,Stone
TIG_PostNL::Pound (lb),Livre
TIG_PostNL::Ounce,Hectogramme
TIG_PostNL::Grain (g),Grain
TIG_PostNL::Troy,Once troy
TIG_PostNL::Pound,Livre
TIG_PostNL::Ounce,Hectogramme
TIG_PostNL::Pennyweight,Pennyweight
TIG_PostNL::carat,Carat
TIG_PostNL::Mite,Mite
TIG_PostNL::Grain,Grain
TIG_PostNL::Street line,Ligne rue
TIG_PostNL::Extra Cover,Augmentation de responsabilité
TIG_PostNL::Extra cover + Return when not home,Augmentation de responsabilité + Retour en cas d'absence
TIG_PostNL::Signature on delivery,Signature à la réception
TIG_PostNL::Signature on delivery + Delivery to stated address only,Signature à la réception + Livraison uniquement à l'adresse indiquée
TIG_PostNL::Signature on delivery + Return when not home,Signature à la réception + Retour en cas d'absence
TIG_PostNL::Signature on delivery + Deliver to stated address only + Return when not home,Signature à la réception + Livraison uniquement à l'adresse indiquée + Retour en cas d'absence
TIG_PostNL::Delivery to neighbour + Return when not home,Livraison chez les voisins + Retour en cas d'absence
TIG_PostNL::Deliver to stated address only,Livraison uniquement à l'adresse indiquée
TIG_PostNL::Deliver to stated address only + Return when not home,Livraison uniquement à l'adresse indiquée + Retour en cas d'absence
TIG_PostNL::Print shipping labels & confirm shipment,Imprimer les étiquettes d'envoi et annoncer l'envoi
TIG_PostNL::Print shipping labels,Imprimer les étiquettes d'envoi
TIG_PostNL::Confirm shipments,Annoncer les envois
TIG_PostNL::None,Aucun
TIG_PostNL::Shipment ID,Identifiant envoi
TIG_PostNL::Order ID,Identifiant commande
TIG_PostNL::Use a custom value,Utilisation d'une valeur propre
TIG_PostNL::EU Pack Special Consumer (incl. signature),EU Pack Special Consument (signature incluse)
"TIG_PostNL::EU Pack Standard (Belgium only, no signature)","EU Pack Standard (uniquement pour la Belgique, sans signature)"
TIG_PostNL::Ascending,En hausse
TIG_PostNL::Descending,En baisse
TIG_PostNL::Disabled,Désactivé
TIG_PostNL::Errors only,Uniquement erreurs
TIG_PostNL::Full,Complet
TIG_PostNL::Domestic options,Options nationales
TIG_PostNL::Standard shipment,Envoi standard
TIG_PostNL::Post Office + Extra Cover,Bureau de poste + Augmentation de responsabilité
TIG_PostNL::Post Office + Extra Cover + Notification,Bureau de poste + Augmentation de responsabilité + notification
TIG_PostNL::Post Office + Signature on Delivery,Bureau de poste + signature à la réception
TIG_PostNL::Post Office + Signature on Delivery + Notification,Bureau de poste + signature à la réception + notification
TIG_PostNL::EU options,Options UE
TIG_PostNL::EU Pack Special Consumer (incl. signature),Client EU Pack Special (signature incluse)
TIG_PostNL::Global options,Options internationales
TIG_PostNL::Use default,Utilisation d'une valeur standard
TIG_PostNL::Standard options,Options standard
TIG_PostNL::Global options,Options internationales
TIG_PostNL::(default),(standard)
TIG_PostNL::PostNL extension has been successfully updated to version v%s.,L'extension PostNL a été correctement mise à jour à la version v%s.
TIG_PostNL::Test,Test
TIG_PostNL::Live,Live
TIG_PostNL::Your shipment has been shipped on %s. Click %s to track your shipment.,Votre envoi a été expédié à %s. Cliquez sur %s pour suivre votre envoi.
TIG_PostNL::You currently do not use split street lines.,Vous n'utilisez pas de lignes d'adresse séparées pour l'instant.
TIG_PostNL::Not using split street lines may cause errors in shipment processing as PostNL cannot support every possible address syntax. We strongly recommend using split street lines to avoid problems when using PostNL shipping. For more information, please contact PostNL support.,"Cela peut provoquer des erreurs dans le traitement de vos commandes, vu que PostNL ne peut pas soutenir la syntaxe de toutes les adresses internationales utilisées. Nous recommandons vivement d'utiliser des lignes d'adresse séparées dans votre webshop. Pour plus d'informations, veuillez prendre contact avec l'assistance PostNL."
TIG_PostNL::You have configured the extension for test mode only. You still must enter a live username and password before you may use the extension for real shipments.,Vous avez configuré l'extension en mode test uniquement. Vous devez introduire un nom d'utilisateur et un mot de passe live avant de pouvoir utiliser l'extension pour de réels envois.
TIG_PostNL::You have not yet fully configured the extension. You must complete this process before you can use it.,Vous n'avez pas encore configuré l'extension complète. Vous devez achever ce processus avant de pouvoir utiliser l'extension.
TIG_PostNL::Are you planning to ship outside of the EU? Activate GlobalPack with the details you have received from PostNL. You can ignore the GlobalPack settings for domestic shipping and shipping within the EU.,Allez-vous effectuer des envois en dehors de l'UE ? Activez GlobalPack avec les données que vous avez reçues de la part de PostNL. Vos envois se limitent aux Pays-Bas et à l'UE ? Vous pouvez alors ignorer ces paramètres.
TIG_PostNL::You have not yet configured PostNL Checkout. Please complete this process if you wish to use PostNL Checkout.,Vous n'avez pas encore configuré PostNL Checkout. Veuillez suivre le processus de configuration si vous désirez utiliser PostNL Checkout.
TIG_PostNL::Previous page,page précédente
TIG_PostNL::Page,page
TIG_PostNL::Next page,Page suivante
TIG_PostNL::Reported at PostNL,Annoncé chez PostNL
TIG_PostNL::Sorted,En cours de tri
TIG_PostNL::In Distribution,En cours de distribution
TIG_PostNL::Delivered,Livré
TIG_PostNL::Extra cover amount (in increments of 500),Couverture supplémentaire (multiple de 500)
TIG_PostNL::Number of parcels,Nombre de colis
TIG_PostNL::Shipment type,Modèle d'envoi
TIG_PostNL::Treat as abandoned,Traité comme abandonné
TIG_PostNL::Please fill out these additional fields.,Veuillez compléter les champs supplémentaires
